"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проврка козины","2041","checkCart","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Firefox","tests.CartTest","checkCart"
"","1020","checkLocators","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LocatorsTest","Firefox","tests.LocatorsTest","checkLocators"
"","5043","chekLoginWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","chekLoginWithNegativeCred1"
"","2","chekLoginWithNegativeCred","SauceDemo suite","2026-06-08","unknown","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","chekLoginWithNegativeCred"
"","904","chekLoginWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","chekLoginWithNegativeCred1"
